UNESCO_Site;Damaged_Site_Nearby;Event_Date;ACLED_Event_Type;Dist_UNESCO_to_Damage_m;Geo_Precision;ACLED_Notes
Historic Centre of Tchernigov, 9th—13th centuries;Historic building of the regional youth center (formerly the Shchors Cinema);2022-02-27;Air/drone strike;226.8;1;On 27 February 2022, the Russian military forces carried out air strikes and shelled with heavy weaponry the city of Chernihiv, damaging 6 residential buildings, including a children's dental clinic and kindergarten. Russian troops also launched a missile attack on the center of the city. Two Ukrainian soldiers were killed. Also, 16 civilians sustained various degree injuries.
Historic Centre of Tchernigov, 9th—13th centuries;The Military Historical Museum - a branch of the Chernihiv Historical Museum – Chernihiv;2022-03-13;Air/drone strike;1616.3;1;On 13 March 2022, Russian forces throughout the whole day conducted airstrikes and shelled Chernihiv with heavy weapons, hitting residential buildings. One of the shells hit a dormitory. Seven people were rescued, one person died, further casualties unknown.
Historic Centre of Tchernigov, 9th—13th centuries;Chernihiv Regional Universal Scientific Library. V.G. Korolenko;2022-03-30;Shelling/artillery/missile attack;778.2;2;On 30 March 2022, the Russian forces continued to fire artillery in the direction of Chernihiv. Casualties unknown.
Historic Centre of Tchernigov, 9th—13th centuries;St. Kazan Church;2022-03-07;Armed clash;813.1;2;On 7 March 2022, the Russian military forces clashed with Ukrainian forces near Chernihiv. Casualties unknown.
Historic Centre of Tchernigov, 9th—13th centuries;Central City Library M. Kotsiubynsky;2022-02-27;Air/drone strike;307.2;1;On 27 February 2022, the Russian military forces carried out air strikes and shelled with heavy weaponry the city of Chernihiv, damaging 6 residential buildings, including a children's dental clinic and kindergarten. Russian troops also launched a missile attack on the center of the city. Two Ukrainian soldiers were killed. Also, 16 civilians sustained various degree injuries.
Historic Centre of Tchernigov, 9th—13th centuries;Chernihiv Regional Art Museum;2022-03-06;Disrupted weapons use;785.9;1;Defusal: On 6 March 2022, Ukrainian State Emergency Service specialists found and defused three unexploded Russian FAB-500 aerial bombs at the private house in Chernihiv (Chernihiv). According to local sources, those aerial bombs were left over from downed SU-34 the day before.
Historic Centre of Tchernigov, 9th—13th centuries;Memorial house-museum and estate of Mykhailo Kotsiubynskyi – Chernihiv;2022-03-06;Disrupted weapons use;847.9;1;Defusal: On 6 March 2022, Ukrainian State Emergency Service specialists found and defused three unexploded Russian FAB-500 aerial bombs at the private house in Chernihiv (Chernihiv). According to local sources, those aerial bombs were left over from downed SU-34 the day before.
Historic Centre of Tchernigov, 9th—13th centuries;Chernihiv Regional Taras Shevchenko Theater;2023-08-19;Shelling/artillery/missile attack;80.1;1;On 19 August 2023, Russian forces launched 'Iskander' missile at an opera theatre, where a drone exhibition took place, in Chernihiv. 7 civilians were killed, including a child, and 156 civilians were injured.
Historic Centre of Tchernigov, 9th—13th centuries;The building of the “Desna” Hotel (architectural monument of local importance);2023-08-19;Shelling/artillery/missile attack;131.3;1;On 19 August 2023, Russian forces launched 'Iskander' missile at an opera theatre, where a drone exhibition took place, in Chernihiv. 7 civilians were killed, including a child, and 156 civilians were injured.
The Historic Centre of Odesa;House of Scientists (Tolstoy Palace);2023-07-23;Shelling/artillery/missile attack;520.5;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
The Historic Centre of Odesa;House of Scientists (Tolstoy Palace);2023-07-23;Shelling/artillery/missile attack;520.5;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
The Historic Centre of Odesa;House of Scientists (Tolstoy Palace);2023-07-23;Shelling/artillery/missile attack;520.5;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
The Historic Centre of Odesa;House of Scientists (Tolstoy Palace);2023-07-23;Shelling/artillery/missile attack;520.5;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
